#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSMUSP00000138620   -          COG0666              -           6.1e-271  893.9 100.3   9.4e-41  140.3   9.1   7.6   1   1   9  10  10  10  10 -
ENSMUSP00000083754   -          COG0666              -            5.4e-11   42.9   0.1   1.2e-10   41.7   0.1   1.6   1   0   0   1   1   1   1 -
ENSMUSP00000053755   -          COG0666              -            8.8e-11   42.2   0.4   2.5e-06   27.6   0.1   2.9   1   1   0   2   2   2   2 -
ENSMUSP00000024123   -          COG0666              -              2e-10   41.0   0.0   3.2e-10   40.3   0.0   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000022023   -          COG0666              -            2.9e-10   40.5   0.0   9.6e-10   38.8   0.0   1.6   1   1   0   1   1   1   1 -
ENSMUSP00000053783   -          COG0666              -            3.7e-10   40.1   0.0   7.2e-10   39.2   0.0   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000106934   -          COG0666              -              4e-10   40.0   5.9   7.6e-06   26.0   0.8   2.0   1   1   1   2   2   2   2 -
ENSMUSP00000040946   -          COG0666              -            6.9e-10   39.2   0.1   5.4e-07   29.7   0.1   2.5   2   0   0   2   2   2   1 -
ENSMUSP00000041293   -          COG0666              -            8.2e-10   39.0   0.7   4.4e-09   36.6   0.7   1.9   1   1   0   1   1   1   1 -
ENSMUSP00000054056   -          COG0666              -            1.1e-09   38.6   0.5   2.7e-05   24.2   0.0   3.2   1   1   2   3   3   3   3 -
ENSMUSP00000103448   -          COG0666              -            1.2e-09   38.4   0.0   1.9e-09   37.8   0.0   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000063217   -          COG0666              -            1.8e-09   37.9   0.5   5.7e-09   36.2   0.5   1.8   1   1   0   1   1   1   1 -
ENSMUSP00000139672   -          COG0666              -            2.9e-09   37.2   0.2   5.3e-09   36.3   0.2   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000099638   -          COG0666              -            3.9e-09   36.8   0.1   5.7e-09   36.2   0.1   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000025065   -          COG0666              -              5e-09   36.4   0.0     8e-09   35.7   0.0   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000014065   -          COG0666              -            8.5e-09   35.6   0.9   1.5e-07   31.5   0.6   2.1   2   0   0   2   2   2   1 -
ENSMUSP00000110158   -          COG0666              -            1.3e-08   35.0   0.0   2.5e-08   34.1   0.0   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000029271   -          COG0666              -            1.7e-08   34.7   0.0   4.9e-08   33.2   0.0   1.8   1   1   0   1   1   1   1 -
ENSMUSP00000099585   -          COG0666              -            1.8e-08   34.6   1.2   7.3e-06   26.1   0.3   2.8   1   1   0   2   2   2   1 -
ENSMUSP00000049063   -          COG0666              -            1.9e-08   34.5   0.1   9.8e-08   32.2   0.0   2.0   1   1   0   1   1   1   1 -
ENSMUSP00000041585   -          COG0666              -            2.3e-08   34.3   0.0   2.3e-08   34.3   0.0   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000138351   -          COG0666              -            4.6e-08   33.3   0.0   7.8e-08   32.5   0.0   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000018651   -          COG0666              -            6.5e-08   32.8   0.3   1.3e-06   28.5   0.3   2.3   1   1   0   1   1   1   1 -
ENSMUSP00000059923   -          COG0666              -            6.6e-08   32.7   0.1   9.7e-08   32.2   0.1   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000029311   -          COG0666              -            7.9e-08   32.5   0.0   1.7e-07   31.4   0.0   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000133177   -          COG0666              -            8.3e-08   32.4   0.1   1.5e-07   31.6   0.1   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000057849   -          COG0666              -            9.8e-08   32.2   0.0   1.2e-07   31.8   0.0   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000047376   -          COG0666              -            1.2e-07   31.9   0.1   1.9e-07   31.2   0.1   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000052584   -          COG0666              -            3.4e-07   30.4   1.4     2e-06   27.9   0.1   2.5   2   0   0   2   2   2   1 -
ENSMUSP00000159008   -          COG0666              -            3.8e-07   30.2   1.8   0.00023   21.1   1.6   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000099071   -          COG0666              -            7.6e-07   29.3   0.3   1.4e-06   28.4   0.3   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000077697   -          COG0666              -            8.3e-07   29.1   0.0   1.1e-05   25.5   0.0   2.8   1   1   1   2   2   2   1 -
ENSMUSP00000100561   -          COG0666              -            9.6e-07   28.9   0.9   1.5e-06   28.3   0.0   1.7   2   0   0   2   2   1   1 -
ENSMUSP00000056646   -          COG0666              -            1.1e-06   28.7   0.1   1.6e-06   28.2   0.1   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000055267   -          COG0666              -            1.2e-06   28.6   0.0   2.3e-06   27.7   0.0   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000024854   -          COG0666              -            1.9e-06   28.0   0.1   1.5e-05   25.0   0.1   2.0   1   1   1   2   2   2   1 -
ENSMUSP00000146463   -          COG0666              -            2.3e-06   27.7   0.2   0.00043   20.2   0.1   2.9   2   1   0   2   2   2   1 -
ENSMUSP00000041145   -          COG0666              -            2.5e-06   27.5   0.3     8e-06   25.9   0.0   2.0   3   0   0   3   3   1   1 -
ENSMUSP00000134825   -          COG0666              -            2.8e-06   27.4   0.0   5.5e-06   26.4   0.0   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000158611   -          COG0666              -            3.2e-06   27.2   0.0   4.2e-06   26.8   0.0   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000116934   -          COG0666              -            3.4e-06   27.1   0.1     2e-05   24.6   0.1   1.9   1   1   0   1   1   1   1 -
ENSMUSP00000017821   -          COG0666              -            6.3e-06   26.3   0.0   7.2e-06   26.1   0.0   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000081903   -          COG0666              -            7.2e-06   26.1   0.1   3.4e-05   23.8   0.1   1.8   1   1   0   1   1   1   1 -
ENSMUSP00000048340   -          COG0666              -            8.2e-06   25.9   0.0   1.6e-05   24.9   0.0   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000048969   -          COG0666              -            1.3e-05   25.2   0.0   1.7e-05   24.9   0.0   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000041806   -          COG0666              -            5.8e-05   23.1   0.0   5.8e-05   23.1   0.0   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000064929   -          COG0666              -            6.3e-05   23.0   0.0   7.2e-05   22.8   0.0   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000035452   -          COG0666              -            6.5e-05   22.9   0.0   8.8e-05   22.5   0.0   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000082183   -          COG0666              -            7.1e-05   22.8   0.1   7.1e-05   22.8   0.1   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000071859   -          COG0666              -            8.7e-05   22.5   0.0    0.0021   18.0   0.0   2.3   1   1   0   1   1   1   1 -
ENSMUSP00000136163   -          COG0666              -            9.1e-05   22.5   0.1   0.00029   20.8   0.1   1.5   1   1   0   1   1   1   1 -
ENSMUSP00000158789   -          COG0666              -            9.2e-05   22.4   0.1   0.00024   21.1   0.0   1.7   2   0   0   2   2   1   1 -
ENSMUSP00000121536   -          COG0666              -            0.00029   20.8   0.0   0.00039   20.4   0.0   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000054804   -          COG0666              -            0.00033   20.6   0.1   0.00072   19.5   0.1   1.6   1   0   0   1   1   1   1 -
ENSMUSP00000107590   -          COG0666              -            0.00037   20.5   0.0   0.00039   20.4   0.0   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000121305   -          COG0666              -            0.00078   19.4   0.0   0.00087   19.2   0.0   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000043792   -          COG0666              -             0.0031   17.4   0.1      0.01   15.8   0.1   1.8   1   1   0   1   1   1   1 -
ENSMUSP00000058152   -          COG0666              -             0.0063   16.4   0.0     0.011   15.6   0.0   1.4   1   1   0   1   1   1   1 -
ENSMUSP00000059261   -          COG0666              -              0.019   14.9   0.2       3.3    7.5   0.0   2.5   2   1   0   2   2   2   0 -
ENSMUSP00000066031   -          COG0666              -              0.034   14.0   0.0     0.042   13.7   0.0   1.2   1   0   0   1   1   1   0 -
ENSMUSP00000155530   -          COG0666              -               0.12   12.2   0.0      0.12   12.2   0.0   1.2   1   0   0   1   1   1   0 -
ENSMUSP00000038591   -          COG0666              -               0.16   11.9   0.0      0.21   11.5   0.0   1.2   1   0   0   1   1   1   0 -
ENSMUSP00000059129   -          COG0666              -               0.31   10.9   0.0      0.31   10.9   0.0   1.1   1   0   0   1   1   1   0 -
ENSMUSP00000029116   -          COG0666              -               0.31   10.9   0.7       2.5    7.9   0.0   2.1   2   0   0   2   2   2   0 -
ENSMUSP00000009390   -          COG0666              -               0.31   10.9   0.0       0.6    9.9   0.0   1.4   1   0   0   1   1   1   0 -
ENSMUSP00000049248   -          COG0666              -               0.41   10.5   0.1      0.64    9.9   0.1   1.2   1   0   0   1   1   1   0 -
ENSMUSP00000143044   -          COG0666              -               0.45   10.4   0.0      0.96    9.3   0.0   1.5   1   1   0   1   1   1   0 -
#
# Program:         hmmsearch
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      ../../profiles/RefOG003.strict.hmm
# Target file:     Mus_musculus.GRCm38.pep.all.fa
# Option settings: hmmsearch -o /dev/null --tblout ../../hmmer_results/Ref003.Mus_musculus.GRCm38.pep.all.fa.txt --noali -E 1 --max --cpu 1 ../../profiles/RefOG003.strict.hmm Mus_musculus.GRCm38.pep.all.fa 
# Current dir:     /data/orig/projects/OrthoFinder/benchmarks/Orthobench/v2/proteomes/primary_transcripts
# Date:            Wed Mar 11 18:12:53 2020
# [ok]
