#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSPTRP00000051765   -          NOG40200             -           3.9e-168  561.3 1274.6   8.1e-21   74.7  61.4  26.0   1   1  20  21  21  19  19 -
ENSPTRP00000034520   -          NOG40200             -               0.08   12.0   0.0      0.23   10.5   0.0   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000061867   -          NOG40200             -              0.081   12.0  11.8       1.4    7.8  11.8   2.8   1   1   0   1   1   1   0 -
ENSPTRP00000016473   -          NOG40200             -              0.081   12.0   0.2     0.053   12.6   0.2   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000087086   -          NOG40200             -              0.084   11.9   8.3     0.035   13.2   4.3   2.0   1   1   0   2   2   2   0 -
ENSPTRP00000052087   -          NOG40200             -              0.084   11.9   0.8       3.1    6.8   0.0   2.0   2   0   0   2   2   2   0 -
ENSPTRP00000083896   -          NOG40200             -              0.086   11.9   0.0      0.16   11.0   0.0   1.3   1   1   0   1   1   1   0 -
ENSPTRP00000032990   -          NOG40200             -               0.09   11.8   0.0      0.15   11.1   0.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000077107   -          NOG40200             -               0.09   11.8   0.0      0.15   11.1   0.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000064433   -          NOG40200             -              0.094   11.8   0.1      0.13   11.3   0.1   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000058203   -          NOG40200             -              0.095   11.8   7.4      0.11   11.6   7.4   1.0   1   0   0   1   1   1   0 -
ENSPTRP00000079472   -          NOG40200             -              0.097   11.7   0.3      0.11   11.5   0.3   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000051769   -          NOG40200             -              0.097   11.7  70.7       3.7    6.5  70.7   2.6   1   1   0   1   1   1   0 -
ENSPTRP00000068669   -          NOG40200             -              0.099   11.7   0.0      0.27   10.2   0.0   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000065527   -          NOG40200             -                0.1   11.7   0.0      0.27   10.2   0.0   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000015736   -          NOG40200             -                0.1   11.6   7.2      0.13   11.3   7.2   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000026942   -          NOG40200             -               0.11   11.6   4.3   3.3e+02    0.1   0.0   2.1   1   1   0   2   2   1   0 -
ENSPTRP00000075022   -          NOG40200             -               0.11   11.6   2.4      0.11   11.6   2.4   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000046646   -          NOG40200             -               0.11   11.6   4.0      0.12   11.5   4.0   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000080207   -          NOG40200             -               0.11   11.5  15.2      0.12   11.4  15.2   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000023980   -          NOG40200             -               0.11   11.5   8.4      0.14   11.2   8.4   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000064805   -          NOG40200             -               0.12   11.5   0.0      0.12   11.5   0.0   2.9   1   1   1   2   2   1   0 -
ENSPTRP00000081698   -          NOG40200             -               0.12   11.5   0.0      0.19   10.8   0.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000032136   -          NOG40200             -               0.12   11.5   0.2      0.16   11.0   0.2   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000070730   -          NOG40200             -               0.12   11.4   0.0      0.43    9.6   0.0   1.8   1   1   0   1   1   1   0 -
ENSPTRP00000050361   -          NOG40200             -               0.12   11.4   2.9      0.15   11.1   2.9   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000076050   -          NOG40200             -               0.13   11.3   0.0      0.31   10.0   0.0   1.6   1   1   0   1   1   1   0 -
ENSPTRP00000052537   -          NOG40200             -               0.13   11.3  10.8      0.18   10.8  10.8   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000067666   -          NOG40200             -               0.13   11.3   0.1     0.094   11.8   0.1   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000032917   -          NOG40200             -               0.13   11.3   0.0      0.22   10.6   0.0   1.3   1   0   0   1   1   1   0 -
ENSPTRP00000068396   -          NOG40200             -               0.13   11.3   0.2      0.13   11.3   0.2   1.0   1   0   0   1   1   1   0 -
ENSPTRP00000028841   -          NOG40200             -               0.13   11.3   0.0      0.34    9.9   0.0   1.3   1   1   0   1   1   1   0 -
ENSPTRP00000082787   -          NOG40200             -               0.14   11.2   2.0      0.31   10.0   2.2   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000070265   -          NOG40200             -               0.14   11.2  12.9      0.13   11.3  12.9   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000037317   -          NOG40200             -               0.14   11.2   0.8      0.13   11.3   0.8   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000092886   -          NOG40200             -               0.15   11.1   0.0      0.29   10.2   0.0   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000076406   -          NOG40200             -               0.16   11.0   4.2      0.63    9.0   4.4   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000031804   -          NOG40200             -               0.17   10.9   1.6      0.46    9.5   1.2   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000041684   -          NOG40200             -               0.17   10.9   0.0       0.6    9.1   0.0   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000081471   -          NOG40200             -               0.18   10.9   0.6      0.37    9.8   0.5   1.6   1   1   0   1   1   1   0 -
ENSPTRP00000036082   -          NOG40200             -               0.18   10.8   2.5      0.31   10.1   1.5   1.7   2   0   0   2   2   1   0 -
ENSPTRP00000080387   -          NOG40200             -               0.18   10.8   1.9      0.21   10.6   1.9   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000024416   -          NOG40200             -               0.19   10.7   0.6      0.64    9.0   0.7   1.8   1   1   0   1   1   1   0 -
ENSPTRP00000059844   -          NOG40200             -               0.19   10.7   0.2      0.83    8.6   0.2   1.3   1   1   0   1   1   1   0 -
ENSPTRP00000093493   -          NOG40200             -               0.23   10.5   0.0         9    5.2   0.0   1.9   1   1   0   2   2   1   0 -
ENSPTRP00000060554   -          NOG40200             -               0.24   10.4  17.5       2.9    6.9  13.1   2.1   1   1   0   2   2   2   0 -
ENSPTRP00000065338   -          NOG40200             -               0.24   10.4   5.4      0.31   10.0   5.4   1.3   1   0   0   1   1   1   0 -
ENSPTRP00000032009   -          NOG40200             -               0.25   10.4  48.7      0.31   10.0  48.7   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000048599   -          NOG40200             -               0.25   10.3   0.0         2    7.4   0.4   1.6   1   1   1   2   2   2   0 -
ENSPTRP00000088174   -          NOG40200             -               0.25   10.3  29.2      0.75    8.8  29.2   1.6   1   1   0   1   1   1   0 -
ENSPTRP00000047608   -          NOG40200             -               0.26   10.3   0.0      0.32   10.0   0.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000014796   -          NOG40200             -               0.27   10.3   1.7      0.29   10.1   1.7   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000051760   -          NOG40200             -               0.27   10.2   0.2      0.25   10.4   0.2   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000083605   -          NOG40200             -               0.28   10.2   1.5      0.29   10.1   1.5   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000083360   -          NOG40200             -               0.28   10.2   4.6      0.84    8.6   4.6   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000008904   -          NOG40200             -               0.29   10.2   0.0   2.4e+04   -8.1  13.6   1.7   1   1   0   1   1   0   0 -
ENSPTRP00000031723   -          NOG40200             -               0.29   10.1  14.5       1.7    7.6   6.7   2.2   1   1   1   2   2   2   0 -
ENSPTRP00000053135   -          NOG40200             -                0.3   10.1   1.0      0.47    9.5   1.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000083983   -          NOG40200             -                0.3   10.1   0.7      0.25   10.4   0.7   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000029137   -          NOG40200             -                0.3   10.1  23.1      0.42    9.6  23.1   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000069829   -          NOG40200             -                0.3   10.1   0.1       1.1    8.3   0.1   2.1   1   1   0   1   1   1   0 -
ENSPTRP00000027323   -          NOG40200             -               0.31   10.1  12.3       2.6    7.0   1.1   2.4   2   1   0   2   2   2   0 -
ENSPTRP00000016057   -          NOG40200             -               0.31   10.1   6.0       0.3   10.1   6.0   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000088274   -          NOG40200             -               0.31   10.1   2.2      0.31   10.1   1.1   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000049579   -          NOG40200             -               0.31   10.1   0.1      0.47    9.4   0.1   1.3   1   1   0   1   1   1   0 -
ENSPTRP00000008500   -          NOG40200             -               0.32   10.0   0.0      0.47    9.4   0.0   1.3   1   1   0   1   1   1   0 -
ENSPTRP00000031330   -          NOG40200             -               0.32   10.0   0.6      0.33   10.0   0.6   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000047290   -          NOG40200             -               0.34    9.9   0.2      0.52    9.3   0.2   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000087456   -          NOG40200             -               0.35    9.9   0.0      0.46    9.5   0.0   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000076864   -          NOG40200             -               0.35    9.9   4.5      0.39    9.7   4.5   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000090549   -          NOG40200             -               0.36    9.9   2.9      0.41    9.7   2.9   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000018607   -          NOG40200             -               0.37    9.8   1.3      0.51    9.3   1.3   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000071725   -          NOG40200             -               0.37    9.8   0.8      0.37    9.8   0.8   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000012939   -          NOG40200             -               0.37    9.8   0.2       1.6    7.7   0.2   1.8   1   1   0   1   1   1   0 -
ENSPTRP00000036110   -          NOG40200             -               0.37    9.8   0.0       1.8    7.5   0.0   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000026959   -          NOG40200             -               0.38    9.8   0.0        21    4.0   0.0   1.9   1   1   0   1   1   1   0 -
ENSPTRP00000048892   -          NOG40200             -               0.38    9.8   7.8      0.36    9.8   7.8   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000025292   -          NOG40200             -               0.38    9.8   2.7      0.34    9.9   2.7   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000076910   -          NOG40200             -               0.38    9.8   3.0      0.49    9.4   3.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000089861   -          NOG40200             -                0.4    9.7  35.0       1.6    7.7   1.0   2.8   1   1   1   2   2   2   0 -
ENSPTRP00000078229   -          NOG40200             -                0.4    9.7   0.0       1.7    7.6   0.0   1.9   1   1   0   1   1   1   0 -
ENSPTRP00000001512   -          NOG40200             -                0.4    9.7   0.4       0.4    9.7   0.4   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000010875   -          NOG40200             -                0.4    9.7   0.0       1.2    8.2   0.0   1.8   1   1   0   1   1   1   0 -
ENSPTRP00000019411   -          NOG40200             -                0.4    9.7  39.4      0.32   10.0  37.3   1.9   2   0   0   2   2   1   0 -
ENSPTRP00000062737   -          NOG40200             -               0.41    9.6   0.2         3    6.8   0.0   1.8   1   1   1   2   2   1   0 -
ENSPTRP00000017461   -          NOG40200             -               0.42    9.6   0.0       1.1    8.2   0.0   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000089370   -          NOG40200             -               0.44    9.5  25.5       0.8    8.7  25.5   1.4   1   0   0   1   1   1   0 -
ENSPTRP00000080979   -          NOG40200             -               0.45    9.5   0.0       2.1    7.3   0.0   2.0   1   1   0   1   1   1   0 -
ENSPTRP00000041030   -          NOG40200             -               0.46    9.5   0.4      0.59    9.1   0.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000056571   -          NOG40200             -               0.46    9.5   3.5       1.6    7.7   3.4   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000087569   -          NOG40200             -               0.48    9.4   0.1      0.53    9.3   0.1   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000063213   -          NOG40200             -               0.48    9.4   0.0      0.85    8.6   0.0   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000053360   -          NOG40200             -               0.49    9.4   0.4      0.56    9.2   0.4   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000053757   -          NOG40200             -               0.49    9.4   0.4       0.6    9.1   0.4   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000047660   -          NOG40200             -                0.5    9.4   0.0       0.9    8.5   0.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000037111   -          NOG40200             -               0.51    9.3   0.0       1.1    8.3   0.0   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000085265   -          NOG40200             -               0.51    9.3   0.0         7    5.6   0.0   1.9   1   1   1   2   2   2   0 -
ENSPTRP00000025535   -          NOG40200             -               0.52    9.3   0.0       1.6    7.7   0.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000062927   -          NOG40200             -               0.52    9.3   0.1      0.49    9.4   0.1   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000081156   -          NOG40200             -               0.52    9.3   0.0       2.5    7.1   0.0   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000051558   -          NOG40200             -               0.52    9.3  23.8       1.5    7.8  23.4   1.9   1   1   0   1   1   1   0 -
ENSPTRP00000064389   -          NOG40200             -               0.53    9.3   0.6      0.51    9.3   0.6   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000086305   -          NOG40200             -               0.53    9.3   0.6      0.51    9.3   0.6   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000032326   -          NOG40200             -               0.54    9.3   5.0      0.67    8.9   5.0   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000012458   -          NOG40200             -               0.54    9.3  10.0      0.58    9.2  10.0   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000088518   -          NOG40200             -               0.57    9.2   1.2      0.51    9.3   1.2   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000010708   -          NOG40200             -               0.58    9.1   0.0      0.89    8.5   0.0   1.3   1   1   0   1   1   1   0 -
ENSPTRP00000044995   -          NOG40200             -               0.59    9.1  29.5       1.6    7.7  29.5   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000025654   -          NOG40200             -               0.59    9.1  12.4       3.5    6.6   6.6   2.1   2   0   0   2   2   2   0 -
ENSPTRP00000042585   -          NOG40200             -                0.6    9.1   0.5      0.73    8.8   0.5   1.0   1   0   0   1   1   1   0 -
ENSPTRP00000043342   -          NOG40200             -               0.62    9.1   0.0      0.81    8.7   0.0   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000089658   -          NOG40200             -               0.63    9.0   8.0       2.5    7.1   8.3   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000083076   -          NOG40200             -               0.65    9.0   0.7      0.56    9.2   0.7   1.0   1   0   0   1   1   1   0 -
ENSPTRP00000057036   -          NOG40200             -               0.66    9.0   9.1       0.8    8.7   9.1   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000064512   -          NOG40200             -               0.66    9.0  16.1       1.7    7.6  16.1   1.9   1   1   0   1   1   1   0 -
ENSPTRP00000027488   -          NOG40200             -               0.67    8.9   0.8      0.66    9.0   0.8   1.0   1   0   0   1   1   1   0 -
ENSPTRP00000083099   -          NOG40200             -               0.68    8.9   3.3      0.74    8.8   2.8   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000021327   -          NOG40200             -               0.69    8.9   0.0       1.5    7.8   0.0   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000069837   -          NOG40200             -               0.69    8.9  19.4        14    4.6  19.4   2.3   1   1   0   1   1   1   0 -
ENSPTRP00000051672   -          NOG40200             -                0.7    8.9   0.9         1    8.4   0.9   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000026022   -          NOG40200             -               0.71    8.9   1.0      0.87    8.6   1.0   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000002122   -          NOG40200             -               0.73    8.8   0.1       0.7    8.9   0.1   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000076773   -          NOG40200             -               0.73    8.8   0.0       1.1    8.2   0.0   1.2   1   1   0   1   1   1   0 -
ENSPTRP00000086627   -          NOG40200             -               0.78    8.7   4.9       3.5    6.6   4.7   2.0   1   1   0   1   1   1   0 -
ENSPTRP00000081581   -          NOG40200             -               0.79    8.7   1.9       5.4    6.0   1.7   2.0   1   1   0   1   1   1   0 -
ENSPTRP00000000311   -          NOG40200             -               0.81    8.7   2.9      0.79    8.7   2.9   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000036178   -          NOG40200             -               0.81    8.7   5.3      0.77    8.7   5.3   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000012602   -          NOG40200             -               0.81    8.7   4.2       1.1    8.3   4.2   1.3   1   0   0   1   1   1   0 -
ENSPTRP00000090628   -          NOG40200             -               0.84    8.6   2.8         1    8.3   2.8   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000057183   -          NOG40200             -               0.85    8.6   1.4       0.8    8.7   1.4   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000075599   -          NOG40200             -               0.85    8.6   2.2      0.82    8.7   2.2   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000037962   -          NOG40200             -               0.86    8.6  11.0      0.94    8.5  11.0   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000076387   -          NOG40200             -               0.86    8.6  11.0      0.94    8.5  11.0   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000038084   -          NOG40200             -               0.86    8.6   9.9       3.8    6.5  10.5   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000078004   -          NOG40200             -               0.86    8.6   0.3      0.87    8.6   0.3   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000012367   -          NOG40200             -               0.86    8.6   4.2      0.81    8.7   4.2   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000036566   -          NOG40200             -               0.88    8.6  38.8       1.2    8.1  38.8   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000021642   -          NOG40200             -               0.88    8.6   1.9       1.9    7.5   1.8   1.3   1   1   0   1   1   1   0 -
ENSPTRP00000063945   -          NOG40200             -                0.9    8.5   1.0      0.93    8.5   1.0   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000048262   -          NOG40200             -               0.91    8.5   0.0       1.2    8.1   0.0   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000074404   -          NOG40200             -               0.91    8.5   3.0       3.1    6.7   2.6   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000028563   -          NOG40200             -               0.91    8.5  14.6       1.7    7.6  14.5   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000090392   -          NOG40200             -               0.94    8.5   0.3      0.94    8.5   0.3   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000047944   -          NOG40200             -               0.94    8.5   4.1       1.2    8.2   4.1   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000063715   -          NOG40200             -               0.95    8.5   0.0       2.2    7.3   0.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000045337   -          NOG40200             -               0.97    8.4   0.0         2    7.3   0.0   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000059528   -          NOG40200             -               0.99    8.4   8.3       1.4    7.9   8.3   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000089257   -          NOG40200             -                  1    8.4   0.3       3.6    6.5   0.3   1.8   1   1   0   1   1   1   0 -
ENSPTRP00000083255   -          NOG40200             -                  1    8.4   0.1      0.89    8.5   0.1   1.1   1   0   0   1   1   1   0 -
#
# Program:         hmmsearch
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      ../../profiles/RefOG021.strict.hmm
# Target file:     Pan_troglodytes.Pan_tro_3.0.pep.all.fa
# Option settings: hmmsearch -o /dev/null --tblout ../../hmmer_results/Ref021.Pan_troglodytes.Pan_tro_3.0.pep.all.fa.txt --noali -E 1 --max --cpu 1 ../../profiles/RefOG021.strict.hmm Pan_troglodytes.Pan_tro_3.0.pep.all.fa 
# Current dir:     /data/orig/projects/OrthoFinder/benchmarks/Orthobench/v2/proteomes/primary_transcripts
# Date:            Wed Mar 11 18:50:51 2020
# [ok]
